Arbol,Altura,DAP,LtNG,LtNM,LtNS,LngOG,LngOM,LngOS,Especie,Acronimo,Crecimiento,Rep,Trep,Orientaci_n,Cobertura
119,2.5,5,19,29,19.7,97,2,30.2,Phaeographis sp.,PhSp,Cos,Sex,Lirel,Norte,4
122,11,47,19,29,19.7,97,2,30.2,Cladonia coniocraea,ClCon,Com,Sex,Apot,Oeste,28
122,11,47,19,29,19.7,97,2,30.2,Compuesto sp.,ComSt,Com,NaN,NaN,Oeste,4
122,11,47,19,29,19.7,97,2,30.2,Hypotrachyna vexans,HyVex,Fol,Asex,Isid,Oeste,48
122,11,47,19,29,19.7,97,2,30.2,Usnea sp.,UsSp,Frut,NaN,NaN,Norte,8
123,17,40,19,29,19.7,97,2,30.2,Compuesto sp.,ComSt,Com,NaN,NaN,Noreste,76
123,17,40,19,29,19.7,97,2,30.2,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Noreste,20
123,17,40,19,29,19.7,97,2,30.2,Ocellularia sp. 1,OcSp1,Cos,NaN,NaN,Norte,28
124,18,28,19,29,19.7,97,2,30.2,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Noreste,8
125,15,55,19,29,19.7,97,2,30.2,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Norte,8
126,25,43,19,29,19.7,97,2,30.2,Fibrillithecis confusa,FiCon,Cos,Asex,Isid,Sur,12
126,25,43,19,29,19.7,97,2,30.2,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Sur,24
126,25,43,19,29,19.7,97,2,30.2,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Norte,8
126,25,43,19,29,19.7,97,2,30.2,Hypotrachyna vexans,HyVex,Fol,Asex,Isid,Este,24
126,25,43,19,29,19.7,97,2,30.2,Parmotrema cf. latissimum,PaLat,Fol,Sex,Apot,Sur,136
126,25,43,19,29,19.7,97,2,30.2,Parmotrema flavescens,PaFla,Fol,Asex,Isid,Sur,124
126,25,43,19,29,19.7,97,2,30.2,Usnea cf. brasiliensis,UsBra,Frut,Asex,Sor,Sur,16
127,8.8,9,19,29,22.7,97,2,45.3,Usnea cf. mexicana,UsMex,Frut,Asex,Sor,Norte,8
141,16,41,19,29,22.7,97,2,45.3,Graphis mexicana,GrMex,Cos,Sex,Lirel,Sur,16
141,16,41,19,29,22.7,97,2,45.3,Hypotrachyna imbricatula,HyImb,Fol,Sex,Apot,Sur,4
141,16,41,19,29,22.7,97,2,45.3,Hypotrachyna sp. ,HySp,Fol,NaN,NaN,Sur,8
141,16,41,19,29,22.7,97,2,45.3,Leucodermia cf. appalachensis,LeApp,Fol,Asex,Sor,Sur,12
141,16,41,19,29,22.7,97,2,45.3,Ocellularia sp. 1,OcSp1,Cos,NaN,NaN,Norte,12
141,16,41,19,29,22.7,97,2,45.3,Parmotrema cf. subarnoldii,PaSba,Fol,Asex,Sor,Sur,8
141,16,41,19,29,22.7,97,2,45.3,Parmotrema flavescens,PaFla,Fol,Asex,Isid,Sur,4
141,16,41,19,29,22.7,97,2,45.3,Parmotrema flavescens,PaFla,Fol,Asex,Isid,Norte,56
141,16,41,19,29,22.7,97,2,45.3,Usnea cf. mexicana,UsMex,Frut,Asex,Sor,Sur,28
142,15.2,84,19,29,22.7,97,2,45.3,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Noreste,6
142,15.2,84,19,29,22.7,97,2,45.3,Hypotrachyna vexans,HyVex,Fol,Asex,Isid,Noreste,10
142,15.2,84,19,29,22.7,97,2,45.3,Polyblastidium japonicum,PolJa,Fol,Asex,Sor,Noreste,12
142,15.2,84,19,29,22.7,97,2,45.3,Usnea cf. subfloridana,UsSub,Frut,Asex,Sor,Suroeste,16
142,15.2,84,19,29,22.7,97,2,45.3,Usnea sp.,UsSp,Frut,NaN,NaN,Suroeste,4
143,25.9,71,19,29,22.7,97,2,45.3,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Sur,4
143,25.9,71,19,29,22.7,97,2,45.3,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Norte,4
143,25.9,71,19,29,22.7,97,2,45.3,Ocellularia sp. 1,OcSp1,Cos,NaN,NaN,Norte,22
143,25.9,71,19,29,22.7,97,2,45.3,Parmotrema sp. ,PaSp,Fol,NaN,NaN,Sur,8
143,25.9,71,19,29,22.7,97,2,45.3,Parmotrema subisidiosum,PaSub,Fol,Asex,Isid,Norte,10
143,25.9,71,19,29,22.7,97,2,45.3,Usnea cf. brasiliensis,UsBra,Frut,Asex,Sor,Sur,4
143,25.9,71,19,29,22.7,97,2,45.3,Usnea cf. subfloridana,UsSub,Frut,Asex,Sor,Sur,16
143,25.9,71,19,29,22.7,97,2,45.3,Usnea sp.,UsSp,Frut,NaN,NaN,Sur,4
155,21.3,39,19,29,26.6,97,2,20.6,Graphis ingarum,GrIng,Cos,Sex,Lirel,Sureste,4
155,21.3,39,19,29,26.6,97,2,20.6,Hypotrachyna cf. punoensis,HyPun,Fol,Asex,Sor,Noroeste,116
155,21.3,39,19,29,26.6,97,2,20.6,Hypotrachyna sp. ,HySp,Fol,NaN,NaN,Sureste,12
155,21.3,39,19,29,26.6,97,2,20.6,Parmotrema flavescens,PaFla,Fol,Asex,Isid,Noroeste,44
