Arbol,Altura,DAP,Latitud NG,Latitud NM,Latitud NS,Longitud OG,Longitud OM,Longitud OS,Especie,Acro,Crecimiento,Rep,Tip Rep,Orientacion,Cobertura,
12,6.2,9,19,29,10.5,97,2,18.9,Malmidea vinosa,MaVin,Cos,Sex,Apot,NaN,NaN,
12,6.2,9,19,29,10.5,97,2,18.9,Porina nucula,PorNu,Cos,Sex,Perit,NaN,NaN,
12,6.2,9,19,29,10.5,97,2,18.9,Pseudopyrenula subnudata,PsSu,Cos,Sex,Perit,NaN,NaN,
12,6.2,9,19,29,10.5,97,2,18.9,Thelotrema lepadium,ThLep,Cos,Sex,Apot,NaN,NaN,
13,16.6,76,19,29,10.5,97,2,18.9,Fibrillithecis confusa,FiCon,Cos,Asex,Isid,Sur,20,
13,16.6,76,19,29,10.5,97,2,18.9,Herpothallon roseocintum,HeRos,Cos,Asex,Isid,Sur,4,
13,16.6,76,19,29,10.5,97,2,18.9,Hypotrachyna cf. isidiocera,HyIsi,Fol,Asex,Isid,Norte,8,
13,16.6,76,19,29,10.5,97,2,18.9,Parmotrema rampoddense,PaRam,Fol,Asex,Sor,Sur,30,
13,16.6,76,19,29,10.5,97,2,18.9,Usnea cf. filipendula,UsFil,Frut,Asex,Isid,Norte,8,
13,16.6,76,19,29,10.5,97,2,18.9,Usnea cf. subfloridana,UsSub,Frut,Asex,Sor,Norte,58,
14,12.5,36,19,29,13.1,97,2,20.7,Cladonia sp.,ClSp,Com,NaN,NaN,NaN,NaN,
14,12.5,36,19,29,13.1,97,2,20.7,Hypotrachyna cf. isidiocera,HyIsi,Fol,Asex,Isid,Noreste,12,
14,12.5,36,19,29,13.1,97,2,20.7,Hypotrachyna imbricatula,HyImb,Fol,Sex,Apot,NaN,NaN,
14,12.5,36,19,29,13.1,97,2,20.7,Hypotrachyna vexans,HyVex,Fol,Asex,Isid,Noreste,18,
14,12.5,36,19,29,13.1,97,2,20.7,Parmotrema cf. subarnoldii,PaSba,Fol,Asex,Sor,NaN,NaN,
14,12.5,36,19,29,13.1,97,2,20.7,Parmotrema flavescens,PaFla,Fol,Asex,Isid,Suroeste,18,
14,12.5,36,19,29,13.1,97,2,20.7,Parmotrema reticulatum,PaRet,Fol,Asex,Sor,Suroeste,8,
14,12.5,36,19,29,13.1,97,2,20.7,Parmotrema subisidiosum,PaSub,Fol,Asex,Isid,Suroeste,94,
14,12.5,36,19,29,13.1,97,2,20.7,Punctelia hypoleucites,PuHyp,Fol,Sex,Apot,NaN,NaN,
14,12.5,36,19,29,13.1,97,2,20.7,Usnea cf. filipendula,UsFil,Frut,Asex,Isid,Noreste,4,
14,12.5,36,19,29,13.1,97,2,20.7,Usnea cf. mexicana,UsMex,Frut,Asex,Sor,Noreste,56,
14,12.5,36,19,29,13.1,97,2,20.7,Usnea cf. mexicana,UsMex,Frut,Asex,Sor,Suroeste,108,
14,12.5,36,19,29,13.1,97,2,20.7,Usnea cf. subfloridana,UsSub,Frut,Asex,Sor,NaN,NaN,
15,14,35,19,29,13.1,97,2,20.7,Hypotrachyna cf. dentella,HyDe,Fol,Asex,Isid,Noroeste,22,
15,14,35,19,29,13.1,97,2,20.7,Hypotrachyna cf. isidiocera,HyIsi,Fol,Asex,Isid,NaN,NaN,
15,14,35,19,29,13.1,97,2,20.7,Hypotrachyna sp. isidiada,HySpI,Fol,Asex,Isid,Noroeste,20,
15,14,35,19,29,13.1,97,2,20.7,Hypotrachyna vexans,HyVex,Fol,Asex,Isid,NaN,NaN,
15,14,35,19,29,13.1,97,2,20.7,Parmotrema reticulatum,PaRet,Fol,Asex,Sor,Noroeste,16,
15,14,35,19,29,13.1,97,2,20.7,Phyllopsora sp.,PhlSp,Cos,NaN,NaN,Sureste,92,
15,14,35,19,29,13.1,97,2,20.7,Phyllopsora sp.,PhlSp,Cos,NaN,NaN,NaN,NaN,
15,14,35,19,29,13.1,97,2,20.7,Polyblastidium japonicum,PolJa,Fol,Asex,Sor,NaN,NaN,
15,14,35,19,29,13.1,97,2,20.7,Punctelia hypoleucites,PuHyp,Fol,Sex,Apot,NaN,NaN,
15,14,35,19,29,13.1,97,2,20.7,Usnea cf. mexicana,UsMex,Frut,Asex,Sor,Noroeste,116,
16,15,45,19,29,13.1,97,2,20.7,Cladonia coniocraea,ClCon,Com,Sex,apot,NaN,NaN,
16,15,45,19,29,13.1,97,2,20.7,Cladonia dydima,ClDyd,Com,Sex,apot,NaN,NaN,
16,15,45,19,29,13.1,97,2,20.7,Cresponea chloroconia,CrChl,Cos,Sex,apot,Suroeste,114,
